Episode,Episode Score,100-Ep Rolling Avg
0,-2.150000000000001,
1,-2.5000000000000013,
2,-2.800000000000001,
3,-2.450000000000001,
4,-1.7500000000000007,
5,-2.6500000000000004,
6,0.0,
7,-0.15000000000000002,
8,-0.3,
9,-2.000000000000001,
10,-0.2,
11,-0.8000000000000002,
12,-0.44999999999999996,
13,-1.7000000000000008,
14,-0.95,
15,-0.6000000000000002,
16,-0.39999999999999997,
17,-0.30000000000000004,
18,0.45000000000000007,
19,-0.5,
20,-0.7000000000000001,
21,-0.35,
22,-0.1,
23,-0.5499999999999999,
24,-0.2,
25,-0.2,
26,-0.2,
27,0.45000000000000007,
28,0.0,
29,0.0,
30,-0.05,
31,-0.6499999999999999,
32,0.45000000000000007,
33,-0.25,
34,0.0,
35,-0.05,
36,-0.1,
37,-0.25,
38,-0.25,
39,0.2500000000000001,
40,-0.35,
41,-0.1,
42,-0.6,
43,0.0,
44,0.75,
45,0.2500000000000001,
46,0.0,
47,-0.1,
48,0.65,
49,0.55,
50,0.65,
51,0.5499999999999999,
52,-0.15000000000000002,
53,-0.05,
54,0.0,
55,0.65,
56,0.75,
57,-0.05,
58,-0.05,
59,-0.05,
60,-0.15000000000000002,
61,0.050000000000000044,
62,0.0,
63,0.0,
64,0.75,
65,-0.15000000000000002,
66,0.35,
67,-0.5500000000000003,
68,-0.3,
69,-1.2500000000000009,
70,-0.25,
71,0.0,
72,-0.05,
73,-0.39999999999999997,
74,0.44999999999999996,
75,0.55,
76,-0.1,
77,0.6499999999999999,
78,0.65,
79,-0.05,
80,-0.050000000000000044,
81,-0.05,
82,-0.05,
83,-0.2,
84,0.0,
85,0.0,
86,0.0,
87,-0.3500000000000001,
88,0.0,
89,-0.15000000000000002,
90,-0.7,
91,-0.1,
92,-0.1,
93,-0.1,
94,0.0,
95,0.15000000000000002,
96,-0.05,
97,-0.9499999999999998,
98,0.0,
99,0.6499999999999999,-0.23500000000000007
100,0.75,-0.20600000000000004
101,0.35,-0.17750000000000007
102,0.75,-0.14200000000000004
103,0.0,-0.11750000000000003
104,0.0,-0.10000000000000002
105,0.55,-0.06800000000000002
106,-0.05,-0.06850000000000002
107,-0.05,-0.06750000000000003
108,-0.1,-0.06550000000000003
109,-3.0000000000000013,-0.07550000000000003
