Episode,Episode Score,100-Ep Rolling Avg
0,-0.15000000000000002,
1,-0.1,
2,-0.15000000000000002,
3,-0.39999999999999997,
4,-0.6000000000000001,
5,-0.3,
6,-0.6500000000000008,
7,0.0,
8,-1.3000000000000005,
9,-0.7500000000000002,
10,-3.1499999999999977,
11,-0.8000000000000003,
12,-2.9999999999999996,
13,-2.2499999999999987,
14,-5.049999999999992,
15,-1.6500000000000008,
16,-0.4,
17,0.25,
18,-1.0,
19,-0.30000000000000004,
20,-0.15000000000000002,
21,-0.15000000000000002,
22,-0.5,
23,-0.6500000000000008,
24,-0.15000000000000002,
25,-0.7,
26,-1.5500000000000005,
27,-0.1499999999999999,
28,-0.9500000000000002,
29,-0.9500000000000002,
30,-2.4999999999999996,
31,-0.25,
32,-0.2,
33,-3.349999999999999,
34,0.0,
35,-0.9500000000000001,
36,-0.8000000000000002,
37,-1.4500000000000004,
38,-0.35,
39,-0.65,
40,-0.35,
41,0.24999999999999978,
42,-0.3,
43,-0.39999999999999997,
44,-0.1,
45,-0.8,
46,-1.6500000000000008,
47,0.65,
48,-0.05,
49,-0.05,
50,-0.1,
51,-0.25,
52,-0.050000000000000266,
53,0.0,
54,-0.55,
55,-0.15000000000000002,
56,-0.35,
57,-0.44999999999999996,
58,-0.15000000000000002,
59,-0.7500000000000009,
60,0.75,
61,-0.2,
62,-0.5500000000000007,
63,-0.6000000000000002,
64,-0.25,
65,-0.3,
66,-0.35,
67,-0.49999999999999994,
68,-0.9500000000000002,
69,-1.1000000000000003,
70,-1.0500000000000003,
71,-0.3,
72,0.55,
73,-0.35,
74,0.45000000000000007,
75,0.45000000000000007,
76,-0.8000000000000002,
77,-0.25000000000000044,
78,-0.49999999999999994,
79,0.65,
80,-1.0500000000000005,
81,-4.099999999999994,
82,0.1499999999999997,
83,0.0,
84,-0.44999999999999996,
85,-0.15000000000000002,
86,-0.44999999999999996,
87,-1.3,
88,-0.7500000000000002,
89,-0.15000000000000002,
90,-4.000000000000001,
91,-0.2,
92,0.55,
93,-2.2000000000000006,
94,-0.1,
95,0.65,
96,-0.2,
97,-0.39999999999999997,
98,-1.850000000000001,
99,-0.65,-0.6559999999999999
100,-0.7999999999999999,-0.6624999999999999
101,-0.3,-0.6644999999999999
102,-0.44999999999999996,-0.6674999999999999
103,-2.3999999999999995,-0.6875
104,-0.65,-0.6879999999999998
105,0.04999999999999971,-0.6844999999999999
106,-0.5,-0.6829999999999999
107,-1.2000000000000002,-0.695
108,-1.1500000000000006,-0.6934999999999999
109,-0.25,-0.6884999999999999
110,-0.9,-0.6659999999999999
111,-3.049999999999999,-0.6884999999999999
112,-1.0500000000000003,-0.669
113,-1.0500000000000003,-0.657
114,-0.2,-0.6085
115,-0.5499999999999999,-0.5975
116,-3.2999999999999994,-0.6265000000000001
117,-0.35,-0.6325000000000001
118,0.65,-0.616
119,-0.9500000000000011,-0.6225
120,-6.69999999999999,-0.688
121,-4.849999999999995,-0.7349999999999999
122,-6.44999999999999,-0.7944999999999998
123,0.55,-0.7824999999999999
124,-0.49999999999999994,-0.7859999999999998
125,-0.6000000000000001,-0.7849999999999997
126,0.65,-0.7629999999999997
127,0.3500000000000001,-0.7579999999999998
128,-0.2,-0.7504999999999998
129,-1.549999999999999,-0.7564999999999997
130,-0.05,-0.7319999999999998
131,0.55,-0.7239999999999998
132,-6.549999999999991,-0.7874999999999998
133,0.65,-0.7474999999999997
134,0.75,-0.7399999999999998
135,-1.4499999999999997,-0.7449999999999997
136,0.35,-0.7334999999999997
137,-0.050000000000000044,-0.7194999999999997
138,-1.1500000000000004,-0.7274999999999997
139,0.0,-0.7209999999999996
140,0.55,-0.7119999999999997
141,-1.0,-0.7244999999999997
142,-0.44999999999999996,-0.7259999999999996
143,-0.4,-0.7259999999999996
144,0.65,-0.7184999999999997
145,-0.050000000000000266,-0.7109999999999996
146,-1.1000000000000003,-0.7054999999999997
147,-0.8500000000000008,-0.7204999999999997
148,0.55,-0.7144999999999997
149,-1.6000000000000003,-0.7299999999999998
150,0.35,-0.7254999999999997
151,-1.3500000000000003,-0.7364999999999996
152,0.75,-0.7284999999999997
153,-0.3,-0.7314999999999996
154,-0.44999999999999996,-0.7304999999999997
155,-1.0999999999999999,-0.7399999999999998
156,0.65,-0.7299999999999998
157,-2.999999999999999,-0.7554999999999997
158,0.35,-0.7504999999999997
159,-0.15000000000000002,-0.7444999999999996
160,0.75,-0.7444999999999996
161,-6.549999999999986,-0.8079999999999995
162,-0.3,-0.8054999999999994
163,-0.5499999999999999,-0.8049999999999996
164,-0.850000000000001,-0.8109999999999995
165,-1.3000000000000005,-0.8209999999999995
166,-7.549999999999988,-0.8929999999999993
167,-0.05,-0.8884999999999994
168,0.35,-0.8754999999999995
169,-9.349999999999985,-0.9579999999999993
170,0.65,-0.9409999999999993
171,-0.2,-0.9399999999999993
172,-2.400000000000001,-0.9694999999999994
173,0.65,-0.9594999999999994
174,0.65,-0.9574999999999992
175,0.45000000000000007,-0.9574999999999992
176,-3.3499999999999996,-0.9829999999999992
177,-7.349999999999987,-1.0539999999999992
178,0.75,-1.0414999999999992
179,-0.8999999999999999,-1.0569999999999993
180,0.1499999999999997,-1.044999999999999
181,-1.3000000000000003,-1.0169999999999992
182,0.44999999999999996,-1.0139999999999991
183,-0.65,-1.0204999999999993
184,0.55,-1.010499999999999
185,-0.1499999999999999,-1.010499999999999
186,-2.150000000000001,-1.0274999999999992
187,0.65,-1.0079999999999991
188,0.55,-0.9949999999999991
189,0.3500000000000001,-0.9899999999999993
190,-9.049999999999986,-1.040499999999999
191,0.45000000000000007,-1.0339999999999991
192,-1.0500000000000007,-1.049999999999999
193,0.55,-1.022499999999999
194,0.65,-1.014999999999999
195,0.65,-1.0149999999999992
196,-0.1,-1.0139999999999991
197,0.55,-1.004499999999999
198,0.65,-0.979499999999999
199,0.75,-0.965499999999999
200,0.75,-0.949999999999999
201,-0.05,-0.9474999999999991
202,-2.5499999999999985,-0.9684999999999991
203,-1.8500000000000005,-0.962999999999999
204,0.55,-0.9509999999999991
